DATE,DGS5
2014-12-30,1.68
2014-12-31,1.65
2015-01-01,.
2015-01-02,1.61
2015-01-05,1.57
2015-01-06,1.50
2015-01-07,1.47
2015-01-08,1.50
2015-01-09,1.45
2015-01-12,1.39
2015-01-13,1.37
2015-01-14,1.33
2015-01-15,1.22
2015-01-16,1.29
2015-01-19,.
2015-01-20,1.31
2015-01-21,1.35
2015-01-22,1.39
2015-01-23,1.33
2015-01-26,1.36
2015-01-27,1.34
2015-01-28,1.25
2015-01-29,1.28
2015-01-30,1.18
2015-02-02,1.19
2015-02-03,1.28
2015-02-04,1.29
2015-02-05,1.30
2015-02-06,1.48
2015-02-09,1.49
2015-02-10,1.52
2015-02-11,1.53
2015-02-12,1.50
2015-02-13,1.53
2015-02-16,.
2015-02-17,1.62
2015-02-18,1.52
2015-02-19,1.58
2015-02-20,1.61
2015-02-23,1.56
2015-02-24,1.47
2015-02-25,1.47
2015-02-26,1.54
2015-02-27,1.50
2015-03-02,1.57
2015-03-03,1.61
2015-03-04,1.60
2015-03-05,1.57
2015-03-06,1.70
2015-03-09,1.66
2015-03-10,1.62
2015-03-11,1.60
2015-03-12,1.59
2015-03-13,1.60
2015-03-16,1.57
2015-03-17,1.56
2015-03-18,1.41
2015-03-19,1.48
2015-03-20,1.42
2015-03-23,1.41
2015-03-24,1.37
2015-03-25,1.41
2015-03-26,1.47
2015-03-27,1.42
2015-03-30,1.41
2015-03-31,1.37
2015-04-01,1.32
2015-04-02,1.35
2015-04-03,1.26
2015-04-06,1.31
2015-04-07,1.32
2015-04-08,1.35
2015-04-09,1.40
2015-04-10,1.41
2015-04-13,1.38
2015-04-14,1.34
2015-04-15,1.33
2015-04-16,1.31
2015-04-17,1.31
2015-04-20,1.33
2015-04-21,1.35
2015-04-22,1.41
2015-04-23,1.37
2015-04-24,1.34
2015-04-27,1.36
2015-04-28,1.39
2015-04-29,1.43
2015-04-30,1.43
2015-05-01,1.50
2015-05-04,1.51
2015-05-05,1.54
2015-05-06,1.58
2015-05-07,1.55
2015-05-08,1.50
2015-05-11,1.59
2015-05-12,1.58
2015-05-13,1.57
2015-05-14,1.51
2015-05-15,1.46
2015-05-18,1.54
2015-05-19,1.60
2015-05-20,1.57
2015-05-21,1.53
2015-05-22,1.57
2015-05-25,.
2015-05-26,1.54
2015-05-27,1.53
2015-05-28,1.51
2015-05-29,1.49
2015-06-01,1.55
2015-06-02,1.61
2015-06-03,1.69
2015-06-04,1.65
2015-06-05,1.75
2015-06-08,1.72
2015-06-09,1.74
2015-06-10,1.80
2015-06-11,1.74
2015-06-12,1.75
2015-06-15,1.71
2015-06-16,1.68
2015-06-17,1.63
2015-06-18,1.65
2015-06-19,1.59
2015-06-22,1.68
2015-06-23,1.71
2015-06-24,1.69
2015-06-25,1.70
2015-06-26,1.75
2015-06-29,1.62
2015-06-30,1.63
2015-07-01,1.70
2015-07-02,1.64
2015-07-03,.
2015-07-06,1.56
2015-07-07,1.55
2015-07-08,1.50
2015-07-09,1.58
2015-07-10,1.68
2015-07-13,1.71
2015-07-14,1.67
2015-07-15,1.63
2015-07-16,1.66
2015-07-17,1.67
2015-07-20,1.72
2015-07-21,1.69
2015-07-22,1.69
2015-07-23,1.65
2015-07-24,1.64
2015-07-27,1.58
2015-07-28,1.61
2015-07-29,1.62
2015-07-30,1.62
2015-07-31,1.54
2015-08-03,1.52
2015-08-04,1.60
2015-08-05,1.65
2015-08-06,1.62
2015-08-07,1.59
2015-08-10,1.62
2015-08-11,1.53
2015-08-12,1.52
2015-08-13,1.58
2015-08-14,1.61
2015-08-17,1.58
2015-08-18,1.60
2015-08-19,1.50
2015-08-20,1.50
2015-08-21,1.44
2015-08-24,1.39
2015-08-25,1.48
2015-08-26,1.49
2015-08-27,1.49
2015-08-28,1.52
2015-08-31,1.54
2015-09-01,1.49
2015-09-02,1.52
2015-09-03,1.49
2015-09-04,1.47
2015-09-07,.
2015-09-08,1.53
2015-09-09,1.53
2015-09-10,1.55
2015-09-11,1.52
2015-09-14,1.51
2015-09-15,1.61
2015-09-16,1.62
2015-09-17,1.50
2015-09-18,1.45
2015-09-21,1.51
2015-09-22,1.44
2015-09-23,1.47
2015-09-24,1.44
