DATE,INDPRO
1919-01-01,5.0124
1919-02-01,4.7908
1919-03-01,4.6524
1919-04-01,4.7355
1919-05-01,4.7632
1919-06-01,5.0678
1919-07-01,5.3724
1919-08-01,5.4555
1919-09-01,5.3447
1919-10-01,5.2893
1919-11-01,5.2062
1919-12-01,5.2893
1920-01-01,5.7878
1920-02-01,5.7878
1920-03-01,5.6770
1920-04-01,5.3724
1920-05-01,5.5109
1920-06-01,5.5663
1920-07-01,5.4278
1920-08-01,5.4555
1920-09-01,5.2616
1920-10-01,5.0401
1920-11-01,4.6247
1920-12-01,4.3478
1921-01-01,4.0985
1921-02-01,4.0155
1921-03-01,3.9047
1921-04-01,3.9047
1921-05-01,4.0155
1921-06-01,3.9878
1921-07-01,3.9601
1921-08-01,4.0985
1921-09-01,4.1262
1921-10-01,4.3755
1921-11-01,4.3201
1921-12-01,4.2924
1922-01-01,4.4585
1922-02-01,4.6524
1922-03-01,4.9016
1922-04-01,4.7355
1922-05-01,4.9847
1922-06-01,5.2339
1922-07-01,5.2339
1922-08-01,5.1232
1922-09-01,5.4001
1922-10-01,5.7047
1922-11-01,5.9539
1922-12-01,6.1201
1923-01-01,5.9816
1923-02-01,6.0647
1923-03-01,6.2586
1923-04-01,6.3970
1923-05-01,6.4801
1923-06-01,6.4247
1923-07-01,6.3693
1923-08-01,6.2586
1923-09-01,6.1201
1923-10-01,6.0924
1923-11-01,6.0924
1923-12-01,5.9539
1924-01-01,6.0924
1924-02-01,6.2032
1924-03-01,6.0924
1924-04-01,5.8986
1924-05-01,5.6493
1924-06-01,5.4001
1924-07-01,5.3170
1924-08-01,5.5109
1924-09-01,5.7047
1924-10-01,5.8432
1924-11-01,5.9540
1924-12-01,6.1201
1925-01-01,6.3140
1925-02-01,6.3140
1925-03-01,6.3140
1925-04-01,6.3693
1925-05-01,6.3416
1925-06-01,6.2863
1925-07-01,6.4524
1925-08-01,6.3416
1925-09-01,6.2586
1925-10-01,6.5078
1925-11-01,6.6463
1925-12-01,6.7293
1926-01-01,6.6186
1926-02-01,6.6186
1926-03-01,6.7017
1926-04-01,6.7017
1926-05-01,6.6463
1926-06-01,6.7293
1926-07-01,6.7570
1926-08-01,6.8401
1926-09-01,6.9509
1926-10-01,6.9509
1926-11-01,6.9232
1926-12-01,6.8955
1927-01-01,6.8678
1927-02-01,6.9232
1927-03-01,7.0063
1927-04-01,6.8401
1927-05-01,6.8955
1927-06-01,6.8678
1927-07-01,6.7847
1927-08-01,6.7847
1927-09-01,6.6740
1927-10-01,6.5355
1927-11-01,6.5355
1927-12-01,6.5632
1928-01-01,6.7017
1928-02-01,6.7570
1928-03-01,6.8124
1928-04-01,6.7847
1928-05-01,6.8678
1928-06-01,6.9232
1928-07-01,7.0063
1928-08-01,7.1447
1928-09-01,7.2001
1928-10-01,7.3386
1928-11-01,7.4770
1928-12-01,7.6155
1929-01-01,7.7263
1929-02-01,7.6986
1929-03-01,7.7263
1929-04-01,7.8648
1929-05-01,8.0032
1929-06-01,8.0586
1929-07-01,8.1694
1929-08-01,8.0863
1929-09-01,8.0309
1929-10-01,7.8924
1929-11-01,7.5047
1929-12-01,7.1724
1930-01-01,7.1724
1930-02-01,7.1447
1930-03-01,7.0340
1930-04-01,6.9786
1930-05-01,6.8678
1930-06-01,6.6740
1930-07-01,6.3693
1930-08-01,6.2309
1930-09-01,6.1201
1930-10-01,5.9539
1930-11-01,5.8155
1930-12-01,5.6770
1931-01-01,5.6493
1931-02-01,5.6770
1931-03-01,5.7878
1931-04-01,5.8155
1931-05-01,5.7324
1931-06-01,5.5939
1931-07-01,5.5109
1931-08-01,5.3170
1931-09-01,5.0678
1931-10-01,4.8739
1931-11-01,4.8185
1931-12-01,4.7908
1932-01-01,4.6524
1932-02-01,4.5416
1932-03-01,4.4862
1932-04-01,4.1816
1932-05-01,4.0431
1932-06-01,3.9047
1932-07-01,3.7939
1932-08-01,3.9047
1932-09-01,4.1539
1932-10-01,4.2924
1932-11-01,4.2924
1932-12-01,4.2093
1933-01-01,4.1262
1933-02-01,4.1539
1933-03-01,3.9047
1933-04-01,4.1816
1933-05-01,4.8739
1933-06-01,5.6216
1933-07-01,6.1478
1933-08-01,5.8986
1933-09-01,5.5663
1933-10-01,5.2893
1933-11-01,4.9847
1933-12-01,5.0124
1934-01-01,5.1785
1934-02-01,5.4278
1934-03-01,5.6770
1934-04-01,5.6770
1934-05-01,5.7878
1934-06-01,5.6770
1934-07-01,5.2893
1934-08-01,5.2339
1934-09-01,4.9293
1934-10-01,5.1509
1934-11-01,5.2062
1934-12-01,5.5386
1935-01-01,5.9816
1935-02-01,6.0924
1935-03-01,6.0647
1935-04-01,5.9539
1935-05-01,5.9539
1935-06-01,6.0370
1935-07-01,6.0370
1935-08-01,6.2586
1935-09-01,6.4247
1935-10-01,6.6186
1935-11-01,6.7570
1935-12-01,6.8401
1936-01-01,6.7293
1936-02-01,6.5632
1936-03-01,6.6463
1936-04-01,7.0617
1936-05-01,7.2001
1936-06-01,7.3386
1936-07-01,7.4770
1936-08-01,7.5878
1936-09-01,7.7263
1936-10-01,7.8371
1936-11-01,8.0586
1936-12-01,8.3078
1937-01-01,8.2801
1937-02-01,8.3909
1937-03-01,8.5848
1937-04-01,8.5848
1937-05-01,8.6125
1937-06-01,8.5017
1937-07-01,8.5571
1937-08-01,8.5017
1937-09-01,8.2248
1937-10-01,7.6155
1937-11-01,6.8678
1937-12-01,6.2586
1938-01-01,6.1201
1938-02-01,6.0647
1938-03-01,6.0647
1938-04-01,5.9539
1938-05-01,5.8155
1938-06-01,5.8709
1938-07-01,6.2032
1938-08-01,6.5355
1938-09-01,6.7293
1938-10-01,6.8955
1938-11-01,7.1724
1938-12-01,7.2555
1939-01-01,7.2555
1939-02-01,7.3109
1939-03-01,7.3386
1939-04-01,7.3109
1939-05-01,7.2832
1939-06-01,7.4494
1939-07-01,7.6709
1939-08-01,7.7817
1939-09-01,8.2525
1939-10-01,8.6678
1939-11-01,8.8894
1939-12-01,8.8894
1940-01-01,8.7786
1940-02-01,8.5017
1940-03-01,8.3078
1940-04-01,8.4740
1940-05-01,8.7232
1940-06-01,9.0002
1940-07-01,9.1109
1940-08-01,9.1663
1940-09-01,9.3602
1940-10-01,9.4986
1940-11-01,9.7202
1940-12-01,10.0525
1941-01-01,10.3017
1941-02-01,10.6063
1941-03-01,10.9386
1941-04-01,10.9663
1941-05-01,11.4648
1941-06-01,11.5479
1941-07-01,11.6864
1941-08-01,11.8248
1941-09-01,11.8248
1941-10-01,11.9356
1941-11-01,11.9910
1941-12-01,12.1848
1942-01-01,12.4341
1942-02-01,12.6556
1942-03-01,12.7941
1942-04-01,12.4341
1942-05-01,12.4617
1942-06-01,12.4895
1942-07-01,12.7941
1942-08-01,13.1818
1942-09-01,13.4864
1942-10-01,13.9295
1942-11-01,14.2618
1942-12-01,14.5941
1943-01-01,14.7326
1943-02-01,15.1203
1943-03-01,15.2310
1943-04-01,15.4249
1943-05-01,15.5356
1943-06-01,15.4526
1943-07-01,15.9233
1943-08-01,16.2557
1943-09-01,16.6711
1943-10-01,16.9203
1943-11-01,17.1418
1943-12-01,16.9203
1944-01-01,17.1141
1944-02-01,17.2526
1944-03-01,17.2249
1944-04-01,17.2249
1944-05-01,17.1142
1944-06-01,17.0588
1944-07-01,17.0311
1944-08-01,17.2526
1944-09-01,17.1418
1944-10-01,17.1972
1944-11-01,17.0588
1944-12-01,17.0034
1945-01-01,16.8372
1945-02-01,16.7818
1945-03-01,16.6710
1945-04-01,16.3664
1945-05-01,15.9234
1945-06-01,15.5633
1945-07-01,15.2034
1945-08-01,13.6249
1945-09-01,12.4064
1945-10-01,11.9079
1945-11-01,12.3510
1945-12-01,12.4064
1946-01-01,11.7140
1946-02-01,11.1325
1946-03-01,12.2956
1946-04-01,12.0741
1946-05-01,11.6310
1946-06-01,12.3510
1946-07-01,12.7664
1946-08-01,13.2371
1946-09-01,13.4864
1946-10-01,13.7356
1946-11-01,13.8187
1946-12-01,13.9018
1947-01-01,14.0679
1947-02-01,14.1510
1947-03-01,14.2341
1947-04-01,14.1233
1947-05-01,14.1787
1947-06-01,14.1787
1947-07-01,14.0956
1947-08-01,14.1787
1947-09-01,14.2895
1947-10-01,14.4279
1947-11-01,14.6218
1947-12-01,14.6772
1948-01-01,14.7603
1948-02-01,14.7880
1948-03-01,14.6218
1948-04-01,14.6495
1948-05-01,14.8987
1948-06-01,15.0926
1948-07-01,15.0926
1948-08-01,15.0372
1948-09-01,14.9264
1948-10-01,15.0372
1948-11-01,14.8433
1948-12-01,14.7049
1949-01-01,14.5664
1949-02-01,14.4280
1949-03-01,14.1510
1949-04-01,14.0679
1949-05-01,13.8741
1949-06-01,13.8464
1949-07-01,13.8187
1949-08-01,13.9572
1949-09-01,14.0956
1949-10-01,13.5695
1949-11-01,13.9295
1949-12-01,14.1787
1950-01-01,14.4279
1950-02-01,14.4833
1950-03-01,14.9541
1950-04-01,15.4526
1950-05-01,15.8126
1950-06-01,16.2834
1950-07-01,16.8095
1950-08-01,17.3357
1950-09-01,17.2249
1950-10-01,17.3357
1950-11-01,17.3080
1950-12-01,17.6126
1951-01-01,17.6680
1951-02-01,17.7788
1951-03-01,17.8618
1951-04-01,17.8895
1951-05-01,17.8342
1951-06-01,17.7511
1951-07-01,17.4741
1951-08-01,17.3080
1951-09-01,17.4188
1951-10-01,17.3911
1951-11-01,17.5295
1951-12-01,17.6403
1952-01-01,17.8341
1952-02-01,17.9449
1952-03-01,18.0003
1952-04-01,17.8341
1952-05-01,17.6680
1952-06-01,17.5018
1952-07-01,17.2249
1952-08-01,18.3326
1952-09-01,18.9972
1952-10-01,19.1911
1952-11-01,19.5788
1952-12-01,19.6896
1953-01-01,19.7449
1953-02-01,19.8557
1953-03-01,20.0219
1953-04-01,20.1050
1953-05-01,20.2157
1953-06-01,20.1326
1953-07-01,20.3819
1953-08-01,20.2711
1953-09-01,19.8557
1953-10-01,19.6896
