DATE,M2
1980-11-03,1591.4
1980-11-10,1592.9
1980-11-17,1596.3
1980-11-24,1597.2
1980-12-01,1596.1
1980-12-08,1597.0
1980-12-15,1599.5
1980-12-22,1599.3
1980-12-29,1595.6
1981-01-05,1596.6
1981-01-12,1600.1
1981-01-19,1606.8
1981-01-26,1609.4
1981-02-02,1608.6
1981-02-09,1614.0
1981-02-16,1618.9
1981-02-23,1623.3
1981-03-02,1626.1
1981-03-09,1630.5
1981-03-16,1636.2
1981-03-23,1640.8
1981-03-30,1646.7
1981-04-06,1652.3
1981-04-13,1658.4
1981-04-20,1663.4
1981-04-27,1664.1
1981-05-04,1663.9
1981-05-11,1663.8
1981-05-18,1662.6
1981-05-25,1663.3
1981-06-01,1666.1
1981-06-08,1666.4
1981-06-15,1669.8
1981-06-22,1672.8
1981-06-29,1671.9
1981-07-06,1678.2
1981-07-13,1677.9
1981-07-20,1683.5
1981-07-27,1685.8
1981-08-03,1688.2
1981-08-10,1694.0
1981-08-17,1695.2
1981-08-24,1697.6
1981-08-31,1701.2
1981-09-07,1702.3
1981-09-14,1707.5
1981-09-21,1708.3
1981-09-28,1707.8
1981-10-05,1714.0
1981-10-12,1719.6
1981-10-19,1722.9
1981-10-26,1725.3
1981-11-02,1727.6
1981-11-09,1732.2
1981-11-16,1736.2
1981-11-23,1736.6
1981-11-30,1743.5
1981-12-07,1749.2
1981-12-14,1751.5
1981-12-21,1755.1
1981-12-28,1753.7
1982-01-04,1756.5
1982-01-11,1761.8
1982-01-18,1766.6
1982-01-25,1769.5
1982-02-01,1773.1
1982-02-08,1771.4
1982-02-15,1774.3
1982-02-22,1775.4
1982-03-01,1778.4
1982-03-08,1781.6
1982-03-15,1786.2
1982-03-22,1789.3
1982-03-29,1793.7
1982-04-05,1800.0
1982-04-12,1805.2
1982-04-19,1806.7
1982-04-26,1806.7
1982-05-03,1805.7
1982-05-10,1809.7
1982-05-17,1812.1
1982-05-24,1816.5
1982-05-31,1821.0
1982-06-07,1823.0
1982-06-14,1826.0
1982-06-21,1826.5
1982-06-28,1824.6
1982-07-05,1827.5
1982-07-12,1828.7
1982-07-19,1830.4
1982-07-26,1834.2
1982-08-02,1837.0
1982-08-09,1841.1
1982-08-16,1846.1
1982-08-23,1849.9
1982-08-30,1853.4
1982-09-06,1855.9
1982-09-13,1859.2
1982-09-20,1861.2
1982-09-27,1860.1
1982-10-04,1863.9
1982-10-11,1865.5
1982-10-18,1869.3
1982-10-25,1873.4
1982-11-01,1878.8
1982-11-08,1881.4
1982-11-15,1885.0
1982-11-22,1887.6
1982-11-29,1888.5
1982-12-06,1891.7
1982-12-13,1892.3
1982-12-20,1909.9
1982-12-27,1917.5
1983-01-03,1927.0
1983-01-10,1943.2
1983-01-17,1955.6
1983-01-24,1965.3
1983-01-31,1976.0
1983-02-07,1986.5
1983-02-14,1993.1
1983-02-21,1998.4
1983-02-28,2005.0
1983-03-07,2009.8
1983-03-14,2010.7
1983-03-21,2015.1
1983-03-28,2018.2
1983-04-04,2023.1
1983-04-11,2025.1
1983-04-18,2024.5
1983-04-25,2028.1
1983-05-02,2036.3
1983-05-09,2037.4
1983-05-16,2041.4
1983-05-23,2042.5
1983-05-30,2044.8
1983-06-06,2049.1
1983-06-13,2052.6
1983-06-20,2052.6
1983-06-27,2054.5
1983-07-04,2060.3
1983-07-11,2065.1
1983-07-18,2065.3
1983-07-25,2068.3
1983-08-01,2070.8
1983-08-08,2069.7
1983-08-15,2072.1
1983-08-22,2072.9
1983-08-29,2073.5
1983-09-05,2077.2
1983-09-12,2077.3
1983-09-19,2079.2
1983-09-26,2084.0
1983-10-03,2087.0
1983-10-10,2093.1
1983-10-17,2095.5
1983-10-24,2099.6
1983-10-31,2102.9
1983-11-07,2102.8
1983-11-14,2104.2
1983-11-21,2105.1
1983-11-28,2107.8
1983-12-05,2112.9
1983-12-12,2117.7
1983-12-19,2121.1
1983-12-26,2122.6
1984-01-02,2127.6
1984-01-09,2133.4
1984-01-16,2137.7
1984-01-23,2140.0
1984-01-30,2140.7
1984-02-06,2152.1
1984-02-13,2164.5
1984-02-20,2137.7
1984-02-27,2129.2
1984-03-05,2147.7
1984-03-12,2166.7
1984-03-19,2181.2
1984-03-26,2190.8
1984-04-02,2192.6
1984-04-09,2191.8
1984-04-16,2192.8
1984-04-23,2194.0
1984-04-30,2194.7
1984-05-07,2199.0
1984-05-14,2204.9
1984-05-21,2207.9
1984-05-28,2209.3
1984-06-04,2214.2
1984-06-11,2216.8
1984-06-18,2218.0
1984-06-25,2220.9
1984-07-02,2224.6
1984-07-09,2224.5
1984-07-16,2228.8
1984-07-23,2229.7
1984-07-30,2229.3
1984-08-06,2230.6
1984-08-13,2230.6
1984-08-20,2232.1
1984-08-27,2233.5
1984-09-03,2236.4
1984-09-10,2241.1
1984-09-17,2244.0
1984-09-24,2246.8
1984-10-01,2253.5
1984-10-08,2253.1
1984-10-15,2259.2
1984-10-22,2258.8
1984-10-29,2264.4
1984-11-05,2270.8
1984-11-12,2275.9
1984-11-19,2283.2
1984-11-26,2286.2
1984-12-03,2287.6
1984-12-10,2297.1
1984-12-17,2303.4
1984-12-24,2311.4
1984-12-31,2316.8
1985-01-07,2322.9
1985-01-14,2331.8
1985-01-21,2337.3
1985-01-28,2341.3
1985-02-04,2344.0
1985-02-11,2345.8
1985-02-18,2349.5
1985-02-25,2352.2
1985-03-04,2357.3
1985-03-11,2359.0
1985-03-18,2360.8
1985-03-25,2366.3
1985-04-01,2370.6
1985-04-08,2368.5
1985-04-15,2371.4
1985-04-22,2375.5
1985-04-29,2374.5
1985-05-06,2377.6
1985-05-13,2381.5
1985-05-20,2386.8
1985-05-27,2390.4
1985-06-03,2393.2
1985-06-10,2403.4
1985-06-17,2409.3
1985-06-24,2418.0
1985-07-01,2425.3
1985-07-08,2422.9
1985-07-15,2427.3
1985-07-22,2430.1
1985-07-29,2432.0
1985-08-05,2435.3
1985-08-12,2437.4
1985-08-19,2438.8
1985-08-26,2442.3
1985-09-02,2441.9
1985-09-09,2444.6
1985-09-16,2446.7
1985-09-23,2450.2
1985-09-30,2462.1
1985-10-07,2460.8
1985-10-14,2461.4
1985-10-21,2467.1
1985-10-28,2467.8
1985-11-04,2469.8
1985-11-11,2470.2
1985-11-18,2473.6
1985-11-25,2479.5
1985-12-02,2482.6
1985-12-09,2486.8
1985-12-16,2489.6
1985-12-23,2495.1
1985-12-30,2494.3
1986-01-06,2501.2
1986-01-13,2499.6
1986-01-20,2503.7
1986-01-27,2509.1
1986-02-03,2505.7
1986-02-10,2510.6
1986-02-17,2512.6
1986-02-24,2517.8
1986-03-03,2521.0
1986-03-10,2528.8
1986-03-17,2535.3
1986-03-24,2541.0
1986-03-31,2547.8
1986-04-07,2553.7
1986-04-14,2555.4
1986-04-21,2562.4
1986-04-28,2568.9
1986-05-05,2575.8
1986-05-12,2580.3
1986-05-19,2585.2
1986-05-26,2591.2
1986-06-02,2594.2
1986-06-09,2601.7
1986-06-16,2609.6
1986-06-23,2615.2
1986-06-30,2620.2
1986-07-07,2624.0
1986-07-14,2629.4
1986-07-21,2635.1
1986-07-28,2638.9
1986-08-04,2643.3
1986-08-11,2647.8
1986-08-18,2650.5
1986-08-25,2653.5
1986-09-01,2660.9
1986-09-08,2663.4
1986-09-15,2665.6
1986-09-22,2674.8
1986-09-29,2680.3
1986-10-06,2683.1
1986-10-13,2683.9
1986-10-20,2689.6
1986-10-27,2693.8
1986-11-03,2694.9
1986-11-10,2698.3
1986-11-17,2702.4
1986-11-24,2703.5
1986-12-01,2714.0
1986-12-08,2713.1
1986-12-15,2719.1
1986-12-22,2730.6
1986-12-29,2744.1
1987-01-05,2757.9
1987-01-12,2745.0
1987-01-19,2742.0
1987-01-26,2745.2
1987-02-02,2742.7
1987-02-09,2741.2
1987-02-16,2741.3
1987-02-23,2742.6
1987-03-02,2744.3
1987-03-09,2748.2
1987-03-16,2752.0
1987-03-23,2752.1
1987-03-30,2755.4
1987-04-06,2757.6
1987-04-13,2758.7
1987-04-20,2771.5
1987-04-27,2773.5
1987-05-04,2768.4
1987-05-11,2763.0
1987-05-18,2764.6
1987-05-25,2770.0
1987-06-01,2773.2
1987-06-08,2769.8
1987-06-15,2771.0
1987-06-22,2773.0
1987-06-29,2772.8
1987-07-06,2778.8
1987-07-13,2773.3
1987-07-20,2777.5
1987-07-27,2781.1
1987-08-03,2779.1
1987-08-10,2782.8
1987-08-17,2783.8
1987-08-24,2785.2
1987-08-31,2785.1
1987-09-07,2784.5
1987-09-14,2790.6
1987-09-21,2795.0
1987-09-28,2797.4
1987-10-05,2804.3
1987-10-12,2800.8
1987-10-19,2809.3
1987-10-26,2827.2
1987-11-02,2819.3
1987-11-09,2815.9
1987-11-16,2816.2
1987-11-23,2817.1
1987-11-30,2817.8
1987-12-07,2820.8
1987-12-14,2823.5
1987-12-21,2826.4
1987-12-28,2828.6
1988-01-04,2830.0
1988-01-11,2836.0
1988-01-18,2846.9
1988-01-25,2854.8
1988-02-01,2863.2
1988-02-08,2862.3
1988-02-15,2867.9
1988-02-22,2875.0
1988-02-29,2875.3
1988-03-07,2882.4
1988-03-14,2889.4
1988-03-21,2897.4
1988-03-28,2901.5
1988-04-04,2905.1
1988-04-11,2909.4
1988-04-18,2912.1
1988-04-25,2920.0
1988-05-02,2917.4
1988-05-09,2918.3
1988-05-16,2922.7
1988-05-23,2927.0
1988-05-30,2929.5
1988-06-06,2935.2
1988-06-13,2937.5
1988-06-20,2944.8
1988-06-27,2949.1
1988-07-04,2947.5
1988-07-11,2950.1
1988-07-18,2952.3
1988-07-25,2955.4
1988-08-01,2958.6
1988-08-08,2956.2
1988-08-15,2958.4
1988-08-22,2959.7
1988-08-29,2960.2
1988-09-05,2959.5
1988-09-12,2958.7
1988-09-19,2962.5
1988-09-26,2964.6
1988-10-03,2961.9
1988-10-10,2964.6
1988-10-17,2969.4
1988-10-24,2969.1
1988-10-31,2972.3
1988-11-07,2978.9
1988-11-14,2982.2
1988-11-21,2985.3
1988-11-28,2988.4
1988-12-05,2987.0
1988-12-12,2989.0
1988-12-19,2989.2
1988-12-26,2989.5
1989-01-02,2994.1
1989-01-09,2993.8
1989-01-16,2994.7
1989-01-23,2994.6
1989-01-30,2989.3
1989-02-06,2987.5
1989-02-13,2985.3
1989-02-20,2987.1
1989-02-27,2988.7
1989-03-06,2997.3
1989-03-13,2995.8
1989-03-20,2999.5
1989-03-27,3002.7
1989-04-03,3000.6
1989-04-10,3001.5
1989-04-17,3004.0
1989-04-24,3008.9
1989-05-01,3009.1
1989-05-08,3001.9
1989-05-15,3004.2
1989-05-22,3005.7
1989-05-29,3009.7
1989-06-05,3015.1
1989-06-12,3018.8
1989-06-19,3023.9
1989-06-26,3030.6
1989-07-03,3036.9
1989-07-10,3048.0
1989-07-17,3050.5
1989-07-24,3053.8
1989-07-31,3056.7
1989-08-07,3064.4
1989-08-14,3068.3
1989-08-21,3072.6
1989-08-28,3075.3
1989-09-04,3076.1
1989-09-11,3082.6
1989-09-18,3086.4
1989-09-25,3090.8
1989-10-02,3098.9
1989-10-09,3105.3
1989-10-16,3111.5
1989-10-23,3116.6
1989-10-30,3118.6
1989-11-06,3126.5
1989-11-13,3129.5
1989-11-20,3132.5
1989-11-27,3138.9
1989-12-04,3142.2
1989-12-11,3146.2
1989-12-18,3150.2
1989-12-25,3157.3
1990-01-01,3161.1
1990-01-08,3164.1
1990-01-15,3164.4
1990-01-22,3166.4
1990-01-29,3167.6
1990-02-05,3175.4
1990-02-12,3177.1
1990-02-19,3179.9
1990-02-26,3185.2
1990-03-05,3186.6
1990-03-12,3187.4
1990-03-19,3188.7
1990-03-26,3194.2
1990-04-02,3196.5
1990-04-09,3197.9
1990-04-16,3200.6
1990-04-23,3202.9
1990-04-30,3205.9
1990-05-07,3199.1
1990-05-14,3199.9
1990-05-21,3201.5
1990-05-28,3201.1
1990-06-04,3205.9
1990-06-11,3208.7
1990-06-18,3213.7
1990-06-25,3217.1
1990-07-02,3223.8
1990-07-09,3219.3
1990-07-16,3225.1
1990-07-23,3224.8
1990-07-30,3228.2
1990-08-06,3231.3
1990-08-13,3240.3
1990-08-20,3244.6
1990-08-27,3246.6
1990-09-03,3250.7
1990-09-10,3252.7
1990-09-17,3252.6
1990-09-24,3254.5
1990-10-01,3262.4
1990-10-08,3260.4
1990-10-15,3259.4
1990-10-22,3256.8
1990-10-29,3259.8
1990-11-05,3259.6
1990-11-12,3261.4
1990-11-19,3263.8
1990-11-26,3267.2
1990-12-03,3257.5
1990-12-10,3266.1
1990-12-17,3270.7
1990-12-24,3276.1
1990-12-31,3280.6
1991-01-07,3280.1
1991-01-14,3282.6
1991-01-21,3289.1
1991-01-28,3294.4
1991-02-04,3298.8
1991-02-11,3303.7
1991-02-18,3303.0
1991-02-25,3306.7
1991-03-04,3312.2
1991-03-11,3316.1
1991-03-18,3319.3
1991-03-25,3327.1
1991-04-01,3332.1
1991-04-08,3330.7
1991-04-15,3334.6
1991-04-22,3331.9
1991-04-29,3331.7
1991-05-06,3337.6
1991-05-13,3342.9
1991-05-20,3345.7
1991-05-27,3345.6
1991-06-03,3342.1
1991-06-10,3351.0
1991-06-17,3351.8
1991-06-24,3351.1
1991-07-01,3359.1
1991-07-08,3355.2
1991-07-15,3357.0
1991-07-22,3356.8
